province,cityname,record_date,high,low,weather,wd,ws
上海,上海,9/12/2022,13,11,小雨,东北风,1
上海,上海,10/12/2022,12,7,多云,北风,3
上海,上海,11/12/2022,10,6,多云,西风,2
上海,上海,12/12/2022,9,3,多云,西风,2
上海,上海,13/12/2022,11,3,晴,北风,4
上海,上海,14/12/2022,7,1,晴,东风,1
上海,上海,15/12/2022,12,5,晴,西北风,1
上海,上海,16/12/2022,11,0,阴,北风,3
上海,上海,17/12/2022,4,-3,多云,西北风,1
上海,上海,18/12/2022,4,0,晴,西南风,1
上海,上海,19/12/2022,9,2,晴,北风,1
上海,上海,20/12/2022,12,5,多云,东南风,2
上海,上海,21/12/2022,11,2,阴,西风,1
上海,上海,22/12/2022,6,-1,晴,西北风,2
上海,上海,23/12/2022,4,-1,晴,西北风,3
上海,上海,24/12/2022,5,0,晴,东风,2
上海,上海,25/12/2022,6,1,多云,西北风,2
上海,上海,26/12/2022,7,2,多云,北风,1
上海,上海,27/12/2022,9,4,多云,北风,1
上海,上海,28/12/2022,7,5,多云,北风,1
上海,上海,29/12/2022,6,4,多云,北风,2
上海,上海,30/12/2022,7,3,多云,东风,2
上海,上海,31/12/2022,10,0,阴,西风,1
上海,上海,1/11/2022,21,15,多云,东北风,2
上海,上海,2/11/2022,21,13,晴,西风,2
上海,上海,3/11/2022,19,13,晴,西风,2
上海,上海,4/11/2022,18,11,多云,东北风,2
上海,上海,5/11/2022,18,12,多云,西南风,1
上海,上海,6/11/2022,19,13,多云,东南风,1
上海,上海,7/11/2022,22,14,晴,东风,1
上海,上海,8/11/2022,22,16,晴,东南风,3
上海,上海,9/11/2022,22,16,多云,东南风,1
上海,上海,10/11/2022,26,19,多云,东北风,1
上海,上海,11/11/2022,21,20,小雨,东南风,1
上海,上海,12/11/2022,26,14,多云,北风,4
上海,上海,13/11/2022,15,11,多云,西南风,1
上海,上海,14/11/2022,13,9,多云,西北风,1
上海,上海,15/11/2022,16,10,多云,东北风,1
上海,上海,16/11/2022,18,14,多云,东风,3
上海,上海,17/11/2022,17,14,小雨,东风,3
上海,上海,18/11/2022,20,16,多云,东北风,1
上海,上海,19/11/2022,20,16,小雨,南风,1
上海,上海,20/11/2022,19,14,多云,西风,1
上海,上海,21/11/2022,21,16,多云,东北风,1
上海,上海,22/11/2022,18,14,多云,西风,2
上海,上海,23/11/2022,18,13,多云,东北风,2
上海,上海,24/11/2022,18,14,多云,东风,2
上海,上海,25/11/2022,20,14,多云,南风,2
上海,上海,26/11/2022,20,15,多云,东北风,1
上海,上海,27/11/2022,20,17,多云,南风,3
上海,上海,28/11/2022,22,12,中雨,西北风,2
上海,上海,29/11/2022,15,4,中雨,南风,2
上海,上海,30/11/2022,4,3,小雨,西北风,3
上海,上海,1/10/2022,31,25,阴,东南风,1
上海,上海,2/10/2022,32,25,晴,南风,1
上海,上海,3/10/2022,36,22,阴,南风,1
上海,上海,4/10/2022,24,18,小雨,北风,1
上海,上海,5/10/2022,20,16,阴,东北风,2
上海,上海,6/10/2022,18,15,小雨,北风,3
上海,上海,7/10/2022,18,16,小雨,东北风,2
上海,上海,8/10/2022,19,15,多云,北风,2
上海,上海,9/10/2022,21,12,阴,东北风,3
上海,上海,10/10/2022,18,11,阴,西北风,1
上海,上海,11/10/2022,19,15,阴,东北风,3
上海,上海,12/10/2022,20,16,阴,东北风,2
上海,上海,13/10/2022,22,18,阴,东北风,3
上海,上海,14/10/2022,22,16,多云,北风,2
上海,上海,15/10/2022,23,17,阴,东北风,2
上海,上海,16/10/2022,22,16,多云,北风,1
上海,上海,17/10/2022,21,12,多云,东北风,2
上海,上海,18/10/2022,19,13,晴,北风,2
上海,上海,19/10/2022,20,14,阴,东风,1
上海,上海,20/10/2022,22,15,多云,东南风,3
上海,上海,21/10/2022,25,18,多云,东风,2
上海,上海,22/10/2022,25,16,多云,东风,2
上海,上海,23/10/2022,21,14,晴,北风,2
上海,上海,24/10/2022,22,14,多云,东北风,3
上海,上海,25/10/2022,20,15,多云,东风,3
